x;system
-6.716370614359297;-6.95327602936054
-6.706370614359297;-7.114346733082272
-6.696370614359298;-7.306715343315921
-6.686370614359298;-7.530128895799562
-6.676370614359298;-7.784943127497487
-6.666370614359298;-8.072096380044103
-6.656370614359298;-8.39310247397925
-6.646370614359299;-8.75006201461044
-6.636370614359299;-9.145692422151935
-6.626370614359299;-9.583377856334014
-6.616370614359299;-10.067241185522777
-6.6063706143592995;-10.602241302083089
-6.5963706143593;-11.1943004988262
-6.5863706143593;-11.850468415617543
-6.5763706143593;-12.579131405189255
-6.5663706143593;-13.390279284387049
-6.556370614359301;-14.295845663049121
-6.546370614359301;-15.310143860154573
-6.536370614359301;-16.450428539227065
-6.526370614359301;-17.737624692650325
-6.516370614359301;-19.197282108358007
-6.506370614359302;-20.860837487113727
-6.496370614359302;-22.76730192048812
-6.486370614359302;-24.965544866337815
-6.476370614359302;-27.51742750429085
-6.4663706143593025;-30.502165860766983
-6.456370614359303;-34.02250721258792
-6.446370614359303;-38.2136344338909
-6.436370614359303;-43.256266866714256
-6.426370614359303;-49.39637962073822
-6.416370614359304;-56.975657201112696
-6.406370614359304;-66.47991795407242
-6.396370614359304;-78.6187351137068
-6.386370614359304;-94.4615301497497
-6.376370614359304;-115.68102269314535
-6.366370614359305;-145.0129743302774
-6.356370614359305;-187.18335142676798
-6.346370614359305;-250.9368716863399
-6.336370614359305;-353.9620224717146
-6.3263706143593055;-536.6212424027999
-6.316370614359306;-908.4467412986181
-6.306370614359306;-1860.6424936256478
-6.296370614359306;-5752.367906605173
-6.293185307179586;-10000.35333967722
-6.286370614359306;-98559.5826628261
-6.284185307179587;-1000000.335332732
-6.283285307179586;-1.0000000033399945E8
-6.283185307179586;undefined
-6.2830853071795865;-1.0000000029361658E8
-6.282185307179586;-1000000.3313067472
-6.2763706143593065;-21533.46304647293
-6.2731853071795864;-10000.313340307848
-6.266370614359307;-3537.194376831029
-6.256370614359307;-1391.0466639345022
-6.246370614359307;-738.0920694191742
-6.236370614359307;-456.5243135812846
-6.226370614359308;-310.01803765493526
-6.216370614359308;-224.20426498400178
-6.206370614359308;-169.6575373557301
-6.196370614359308;-132.84295974332153
-6.1863706143593085;-106.8292061366529
-6.176370614359309;-87.76823831778628
-6.166370614359309;-73.38471676533325
-6.156370614359309;-62.263297886114955
-6.146370614359309;-53.48613912156496
-6.1363706143593095;-46.43690641668478
-6.12637061435931;-40.68928747257952
-6.11637061435931;-35.94079650628166
-6.10637061435931;-31.972001037712428
-6.09637061435931;-28.620595899532493
-6.086370614359311;-25.764452947575403
-6.076370614359311;-23.310263855068932
-6.066370614359311;-21.185762993395457
-6.056370614359311;-19.334297537973047
-6.0463706143593114;-17.710970149191304
-6.036370614359312;-16.2798562189246
-6.026370614359312;-15.011968909399558
-6.016370614359312;-13.88375365865587
-6.006370614359312;-12.875964002249441
-5.9963706143593125;-11.972816938566622
-5.986370614359313;-11.161357407667534
